call_ticker,put_ticker,expiration,exercise,call_price,put_price,call_volm,put_volm,Pct_risk_free_rate,days_to_expiration,,strike,underlying_price
AAPL US 12/02/11 C295 Equity,AAPL US 12/02/11 P295 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,295,368.97
AAPL US 12/02/11 C305 Equity,AAPL US 12/02/11 P305 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,305,368.97
AAPL US 12/02/11 C310 Equity,AAPL US 12/02/11 P310 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,310,368.97
AAPL US 12/02/11 C315 Equity,AAPL US 12/02/11 P315 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,315,368.97
AAPL US 12/02/11 C320 Equity,AAPL US 12/02/11 P320 Equity,12/2/2011,A,#N/A N/A,0.25,#N/A N/A,7,0.2,9,,320,368.97
AAPL US 12/02/11 C325 Equity,AAPL US 12/02/11 P325 Equity,12/2/2011,A,#N/A N/A,0.36,#N/A N/A,82,0.2,9,,325,368.97
AAPL US 12/02/11 C330 Equity,AAPL US 12/02/11 P330 Equity,12/2/2011,A,38.9,0.53,200,371,0.2,9,,330,368.97
AAPL US 12/02/11 C335 Equity,AAPL US 12/02/11 P335 Equity,12/2/2011,A,#N/A N/A,0.71,#N/A N/A,924,0.2,9,,335,368.97
AAPL US 12/02/11 C340 Equity,AAPL US 12/02/11 P340 Equity,12/2/2011,A,29.8,0.97,5,627,0.2,9,,340,368.97
AAPL US 12/02/11 C345 Equity,AAPL US 12/02/11 P345 Equity,12/2/2011,A,#N/A N/A,1.51,#N/A N/A,575,0.2,9,,345,368.97
AAPL US 12/02/11 C350 Equity,AAPL US 12/02/11 P350 Equity,12/2/2011,A,20.55,2.13,15,873,0.2,9,,350,368.97
AAPL US 12/02/11 C355 Equity,AAPL US 12/02/11 P355 Equity,12/2/2011,A,17.65,3.1,5,345,0.2,9,,355,368.97
AAPL US 12/02/11 C360 Equity,AAPL US 12/02/11 P360 Equity,12/2/2011,A,12.2,4.35,34,712,0.2,9,,360,368.97
AAPL US 12/02/11 C365 Equity,AAPL US 12/02/11 P365 Equity,12/2/2011,A,9.6,5.9,181,1040,0.2,9,,365,368.97
AAPL US 12/02/11 C370 Equity,AAPL US 12/02/11 P370 Equity,12/2/2011,A,6.6,8.55,1014,871,0.2,9,,370,368.97
AAPL US 12/02/11 C375 Equity,AAPL US 12/02/11 P375 Equity,12/2/2011,A,4.3,11,2403,620,0.2,9,,375,368.97
AAPL US 12/02/11 C380 Equity,AAPL US 12/02/11 P380 Equity,12/2/2011,A,2.59,14.22,2075,140,0.2,9,,380,368.97
AAPL US 12/02/11 C385 Equity,AAPL US 12/02/11 P385 Equity,12/2/2011,A,1.42,17.6,851,52,0.2,9,,385,368.97
AAPL US 12/02/11 C390 Equity,AAPL US 12/02/11 P390 Equity,12/2/2011,A,0.7,21.64,525,11,0.2,9,,390,368.97
AAPL US 12/02/11 C395 Equity,AAPL US 12/02/11 P395 Equity,12/2/2011,A,0.36,22.5,335,25,0.2,9,,395,368.97
AAPL US 12/02/11 C400 Equity,AAPL US 12/02/11 P400 Equity,12/2/2011,A,0.18,31.04,132,50,0.2,9,,400,368.97
AAPL US 12/02/11 C405 Equity,AAPL US 12/02/11 P405 Equity,12/2/2011,A,0.14,36.18,22,12,0.2,9,,405,368.97
AAPL US 12/02/11 C410 Equity,AAPL US 12/02/11 P410 Equity,12/2/2011,A,0.07,40.93,5,10,0.2,9,,410,368.97
AAPL US 12/02/11 C415 Equity,AAPL US 12/02/11 P415 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,415,368.97
AAPL US 12/02/11 C420 Equity,AAPL US 12/02/11 P420 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,420,368.97
AAPL US 12/02/11 C425 Equity,AAPL US 12/02/11 P425 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,425,368.97
AAPL US 12/02/11 C430 Equity,AAPL US 12/02/11 P430 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,430,368.97
AAPL US 12/02/11 C435 Equity,AAPL US 12/02/11 P435 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,435,368.97
AAPL US 12/02/11 C440 Equity,AAPL US 12/02/11 P440 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,440,368.97
AAPL US 12/02/11 C445 Equity,AAPL US 12/02/11 P445 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,445,368.97
AAPL US 12/02/11 C450 Equity,AAPL US 12/02/11 P450 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,450,368.97
AAPL US 12/02/11 C455 Equity,AAPL US 12/02/11 P455 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,455,368.97
AAPL US 12/02/11 C460 Equity,AAPL US 12/02/11 P460 Equity,12/2/2011,A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.2,9,,460,368.97
